original_park,matched_park,similarity,final_match
playground 103 ciii,playground 103 ciii,1,playground 103 ciii
playground 115,playground 115,1,playground 115
playground eighty lxxx,playground eighty lxxx,1,playground eighty lxxx
playground eighty nine lxxxix,playground eighty nine lxxxix,1,playground eighty nine lxxxix
playground ninety,playground ninety,1,playground ninety
playground one forty,playground one forty,1,playground one forty
playground thirty five xxxv,playground thirty five xxxv,1,playground thirty five xxxv
plaza 67,plaza,0.875,na
plimpton playground,plimpton playground,1,plimpton playground
plumb beach,NA,NA,marine park
poe park,poe park,1,poe park
police officer edward byrne park,police officer edward byrne park,1,police officer edward byrne park
potomac playground,potomac playground,1,potomac playground
powell's cove park,powell's cove park,1,powell's cove park
power playground,power playground,1,power playground
pratt playground,pratt playground,1,pratt playground
prescott playground,prospect playground,0.909356725,e.m.t. christopher j. prescott playground
printers park,printers park,1,printers park
private property,NA,NA,na
prospect park,prospect park,1,prospect park
prospect park lake,prospect park,0.907407407,prospect park
ps 153,ps 53,0.944444444,ps 53
pugsley creek park,pugsley creek park,1,pugsley creek park
pulaski park,pulaski park,1,pulaski park
purple playground,purple playground,1,purple playground
queens borough hall,queensboro oval,0.786189834,na
queens botanical garden,united block association garden,0.7523765,kissena corridor park
queens bridge park,queensbridge park,0.912854031,queensbridge park
queens farm park,queens farm park,1,queens farm park
queensboro hall,queensboro oval,0.911111111,grand central parkway extension
queensbridge park,queensbridge park,1,queensbridge park
railroad park,railroad park,1,railroad park
rainbow garden of life and health,rainbow garden of life and health,1,rainbow garden of life and health
rainey park,rainey park,1,rainey park
ralph demarco park,ralph demarco park,1,ralph demarco park
ranaqua garage,ranaqua playground,0.768638769,ranaqua playground
ranaqua park,ranaqua playground,0.842592593,ranaqua playground
randall's island,randall's island park,0.920634921,randall's island park
randall's island park,randall's island park,1,randall's island park
raoul wallenberg forest,raoul wallenberg forest,1,raoul wallenberg forest
rappaport playground,rappaport playground,1,rappaport playground
ravenswood playground,ravenswood playground,1,ravenswood playground
raymond o'connor park,raymond o’connor park,0.968253968,raymond o’connor park
red hook park.,brook park,0.792063492,red hook recreation area
red hook recreation area,red hook recreation area,1,red hook recreation area
red hook recreation center,red hook recreation area,0.905788656,red hook recreation area
reed's basket willow swamp park,reed's basket willow swamp park,1,reed's basket willow swamp park
reiff playground,reiff playground,1,reiff playground
rev j polite playground,rev j polite playground,1,rev j polite playground
rev. t. wendell foster park and recreation center,rev. t. wendell foster park and recreation center,1,rev. t. wendell foster park and recreation center
richman (echo) park,richman (echo) park,1,richman (echo) park
ridgewood reservoir,NA,NA,highland park
rienzi playground,rienzi playground,1,rienzi playground
riverdale park,riverdale park,1,riverdale park
riverdale playground,riverdale playground,1,riverdale playground
riverside park,riverside park,1,riverside park
riverside park south,riverside park south,1,riverside park south
robert bendheim playground,riverbend playground,0.867273954,central park
robert l. clinkscales playground and community garden,robert l. clinkscales playground and community garden,1,robert l. clinkscales playground and community garden
robert moses playground,robert moses playground,1,robert moses playground
rock garden park,rock garden park,1,rock garden park
rockaway beach 48 street,rockaway beach,0.861111111,rockaway beach
rockaway beach 95th street,rockaway beach,0.846153846,rockaway beach
rockaway beach and boardwalk,rockaway beach and boardwalk,1,rockaway beach and boardwalk
rockaway community park,rockaway community park,1,rockaway community park
rockaway freeway,rockaway freeway,1,rockaway freeway
rocket park,hackett park,0.856060606,rocket playground
rodney playground center,rodney playground center,1,rodney playground center
roebling playground,roebling playground,1,roebling playground
roger morris park,roger morris park,1,roger morris park
roy wilkins park,bushwick inlet park,0.780954791,roy wilkins recreation center
